# D1: deep F over training (Theorem 2 + recurrence)
epoch=0 F=1064.551636
epoch=1 F=1063.460327
epoch=2 F=1061.557373
epoch=3 F=1057.968628
epoch=4 F=1051.157471
epoch=5 F=1042.855347
epoch=6 F=1034.464966
epoch=7 F=1024.121826
epoch=8 F=1011.540222
epoch=9 F=996.355286
epoch=10 F=978.200134
epoch=11 F=967.235657
epoch=12 F=956.108887
epoch=13 F=944.819458
epoch=14 F=933.441895
epoch=15 F=922.078491
epoch=16 F=910.791504
epoch=17 F=899.594177
epoch=18 F=888.485413
epoch=19 F=877.476868
epoch=20 F=866.591248
epoch=21 F=855.852417
epoch=22 F=845.294617
epoch=23 F=834.975830
epoch=24 F=824.963196
epoch=25 F=815.312683
epoch=26 F=806.055176
epoch=27 F=797.187256
epoch=28 F=788.672913
epoch=29 F=780.462402
epoch=30 F=772.516907
epoch=31 F=764.818604
epoch=32 F=757.370667
epoch=33 F=750.190308
epoch=34 F=743.297485
epoch=35 F=736.705505
epoch=36 F=730.414185
epoch=37 F=724.405640
epoch=38 F=718.641296
epoch=39 F=713.082947
epoch=40 F=707.715637
epoch=41 F=702.538818
epoch=42 F=697.551147
epoch=43 F=692.753235
epoch=44 F=688.139648
epoch=45 F=683.703979
epoch=46 F=679.441833
epoch=47 F=675.342651
epoch=48 F=671.383423
epoch=49 F=667.540222
epoch=50 F=663.804443
epoch=51 F=660.183350
epoch=52 F=656.690063
epoch=53 F=653.324646
epoch=54 F=650.068665
epoch=55 F=646.900085
epoch=56 F=643.812073
epoch=57 F=640.809814
epoch=58 F=637.895996
epoch=59 F=635.065491
epoch=60 F=632.308777
epoch=61 F=629.620972
epoch=62 F=627.002625
epoch=63 F=624.454102
epoch=64 F=621.969299
epoch=65 F=619.541870
epoch=66 F=617.166138
epoch=67 F=614.843872
epoch=68 F=612.575989
epoch=69 F=610.360718
epoch=70 F=608.193176
epoch=71 F=606.068420
epoch=72 F=603.984863
epoch=73 F=601.941223
epoch=74 F=599.938293
epoch=75 F=597.973083
epoch=76 F=596.042908
epoch=77 F=594.145630
epoch=78 F=592.280823
epoch=79 F=590.446045
epoch=80 F=588.640076
epoch=81 F=586.861084
epoch=82 F=585.108276
epoch=83 F=583.381592
epoch=84 F=581.679321
epoch=85 F=580.000122
epoch=86 F=578.342773
epoch=87 F=576.706543
epoch=88 F=575.091248
epoch=89 F=573.496704
epoch=90 F=571.921326
epoch=91 F=570.364197
epoch=92 F=568.824219
epoch=93 F=567.301453
epoch=94 F=565.795532
epoch=95 F=564.305908
epoch=96 F=562.831726
epoch=97 F=561.372070
epoch=98 F=559.927429
epoch=99 F=558.496948

spearman(epoch,F)=-1.0000 D1=PASS

# D2: accuracy vs beta (deep recurrent net)
# per-layer beta_c=[0.8105962020889795, 1.1682434884163504]  network beta_c=0.8106
beta=0.2 acc=0.2600
beta=0.4 acc=0.2800
beta=0.6 acc=0.2900
beta=0.8 acc=0.3867
beta=1.0 acc=0.2667
beta=1.2 acc=0.2400
beta=1.4 acc=0.2467
beta=1.6 acc=0.2433
beta=1.8 acc=0.2433
beta=2.2 acc=0.2433
beta=2.8 acc=0.2433
beta=3.6 acc=0.2400
beta_star=0.8 D2=PASS
